,flow_id,bwd_pkt_flow_id,src_ip,src_port,dst_ip,dst_port,proto,bi_pktTotalCount,bi_octetTotalCount,bi_min_ps,bi_max_ps,bi_avg_ps,bi_std_dev_ps,bi_flowStart,bi_flowEnd,bi_flowDuration,bi_min_piat,bi_max_piat,bi_avg_piat,bi_std_dev_piat,f_pktTotalCount,f_octetTotalCount,f_min_ps,f_max_ps,f_avg_ps,f_std_dev_ps,f_flowStart,f_flowEnd,f_flowDuration,f_min_piat,f_max_piat,f_avg_piat,f_std_dev_piat,b_pktTotalCount,b_octetTotalCount,b_min_ps,b_max_ps,b_avg_ps,b_std_dev_ps,b_flowStart,b_flowEnd,b_flowDuration,b_min_piat,b_max_piat,b_avg_piat,b_std_dev_piat
0,0069b11d8644933315702dd41bd6600a,00188fd7617a426c64fe571b5617422f,172.16.255.1,50983,134.2.48.153,8984,17,2,653,60,593,326.5,266.5,1295981666.267044,1295981666.441837,0.17479300498962402,0.17479300498962402,0.17479300498962402,0.08739650249481201,,1,60,60,60,60.0,,1295981666.267044,1295981666.267044,,,,,,1.0,593.0,593.0,593.0,593.0,,1295981666.441837,1295981666.441837,,,,,
1,00a88a89af2fde258e7a1b2bfe907679,d9b159af8ea68f31326fbb0e866d5f72,192.168.3.131,58439,208.82.236.129,80,6,10,3351,40,1500,335.1,487.3299600886447,1295981621.841627,1295981622.009449,0.16782212257385254,9.5367431640625e-07,0.06289196014404297,0.016782212257385253,0.025910138212476976,5,808,40,636,161.6,237.24552682822073,1295981621.841627,1295981621.956767,0.11514019966125488,0.0003139972686767578,0.06375288963317871,0.012793355517917208,0.028265179668274448,5.0,2543.0,40.0,1500.0,508.6,598.7412128791536,1295981621.890994,1295981622.009449,0.1184549331665039,9.5367431640625e-07,0.063262939453125,0.02369098663330078,0.029378880844430688
2,00ab368e31bc5b038d542977842aa162,200bc1801c17d4761cb6bc55be25b387,192.168.3.131,56035,65.55.118.107,80,6,14,3836,40,1003,274.0,312.9726140461129,1295981569.735068,1295981667.684903,97.9498348236084,9.894371032714844e-05,59.86831784248352,6.996416773114886,16.721889554851277,8,2651,40,1003,331.375,382.1661737713059,1295981569.735068,1295981607.816585,38.08151698112488,0.00020503997802734375,25.911988973617554,2.9293474600865292,9.118916641702015,6.0,1185.0,40.0,351.0,197.5,153.5521084192594,1295981569.822478,1295981667.684903,97.86242485046387,0.0893700122833252,60.07029485702515,16.310404141743977,22.403627691653043
3,00fcc58fa8c6daa1023b87b1e8de0d21,6841670ddbc9082f646e88cda3b7ddb9,172.16.255.1,50983,87.5.175.49,42341,17,6,1718,45,855,286.3333333333333,290.80959788532124,1295981649.774644,1295981650.953521,1.1788771152496338,0.02717304229736328,0.39281296730041504,0.1964795192082723,0.13617767446567958,3,573,59,445,191.0,179.65151451258814,1295981649.774644,1295981650.560708,0.7860641479492188,0.3418240547180176,0.44424009323120117,0.15721282958984376,0.0512080192565918,3.0,1145.0,45.0,855.0,381.6666666666667,344.5125380721127,1295981650.091505,1295981650.953521,0.862015962600708,0.4199860095977783,0.4420299530029297,0.287338654200236,0.011021971702575684
4,0175493c67a2e205d9339feb4aa6ec0e,1df4c0f215c61a4aae24cf343561259d,192.168.3.131,56163,207.46.148.38,80,6,8,1558,40,685,194.75,262.9119386790946,1295981607.307899,1295981607.367393,0.0594940185546875,3.409385681152344e-05,0.027891159057617188,0.0074367523193359375,0.010062177015527233,5,857,40,685,171.4,256.84205263157355,1295981607.307899,1295981607.35175,0.04385089874267578,0.0002148151397705078,0.027927160263061523,0.00626441410609654,0.011089300939875042,3.0,701.0,40.0,613.0,233.66666666666666,268.2490550879081,1295981607.321604,1295981607.367393,0.04578900337219238,0.015893936157226562,0.02989506721496582,0.015263001124064127,0.007000565528869629
5,01e47ab1035cccef783120a603d49f28,48fd25f92bf3095d217f9e264fa47f5c,192.168.3.131,57203,208.50.77.134,80,6,3,120,40,40,40.0,,1295981779.606778,1295981779.687101,0.0803229808807373,2.47955322265625e-05,0.08029818534851074,0.02677432696024577,0.04013669490814209,2,80,40,40,40.0,,1295981779.606778,1295981779.687101,0.0803229808807373,0.0803229808807373,0.0803229808807373,0.02677432696024577,,1.0,40.0,40.0,40.0,40.0,,1295981779.687076,1295981779.687076,,,,,
6,02bf01ddf66be287d42e4253af9644ed,2bdab37b88af0f81de2775eefe6124ad,192.168.3.131,57247,204.14.234.85,8443,6,80,59126,40,1500,739.075,672.9167254385939,1295981799.812974,1295981835.934308,36.121334075927734,,16.810245037078857,0.45151667594909667,2.2261299673415786,36,23394,40,1500,649.8333333333334,652.1724592978966,1295981799.812974,1295981835.797752,35.98477792739868,1.9073486328125e-06,16.946905851364136,0.4555035180683377,3.2958262343032283,44.0,35732.0,40.0,1500.0,812.0909090909091,680.7787592223075,1295981799.859299,1295981835.934308,36.07500910758972,,16.851540088653564,0.8198865706270392,2.975607769863511
7,03252604e7276b608aede1627b962615,df4eb217d56fcf9c91468333cb5b9833,192.168.3.131,55973,65.54.95.142,80,6,42,35296,40,1500,840.3809523809524,712.3983955083718,1295981545.127681,1295981553.283342,8.15566086769104,9.5367431640625e-07,4.86546778678894,0.19418240161169142,0.8888111744304529,16,1040,40,428,65.0,93.7709976485267,1295981545.127681,1295981553.268602,8.140920877456665,0.00013303756713867188,4.86546778678894,0.19855904579162598,1.4045988514306813,26.0,34256.0,40.0,1500.0,1317.5384615384614,465.5717106434618,1295981545.141378,1295981553.283342,8.141963958740234,9.5367431640625e-07,4.880241870880127,0.3131524599515475,1.1225642124513406
8,03309cfd9df7300dfb57329d1e2a4756,2cdf30b68d9bc012f48cad426ae7152e,172.16.255.1,50983,67.84.50.244,37499,17,2,100,46,54,50.0,4.0,1295981789.054769,1295981789.143433,0.08866405487060547,0.08866405487060547,0.08866405487060547,0.044332027435302734,,1,46,46,46,46.0,,1295981789.054769,1295981789.054769,,,,,,1.0,54.0,54.0,54.0,54.0,,1295981789.143433,1295981789.143433,,,,,
9,0439f2074d7f0368896ef9448241d0b4,a94db216d6431339ad76e135429deb41,192.168.3.131,56168,206.108.207.155,80,6,55,50982,40,1500,926.9454545454546,686.8543955316562,1295981608.145092,1295981608.886494,0.7414019107818604,9.5367431640625e-07,0.2981579303741455,0.01348003474148837,0.04868058156700003,20,2321,40,792,116.05,224.181282670967,1295981608.145092,1295981608.886494,0.7414019107818604,0.0004291534423828125,0.2982449531555176,0.01348003474148837,0.0760517613215035,35.0,48661.0,40.0,1500.0,1390.3142857142857,349.54033255353045,1295981608.164432,1295981608.682614,0.5181820392608643,9.5367431640625e-07,0.29819393157958984,0.014805201121738979,0.05145535310571847
